id,herbal_id,nama_obat,tipe_interaksi,efek,mekanisme
672,450,Obat Diabetes (Metformin / Glipizide),Farmakodinamik,Risiko hipoglikemia sekunder.,"Silymarin meningkatkan sensitivitas reseptor insulin dan menurunkan glukosa darah, memberikan efek aditif terhadap obat penurun gula."
673,450,Diazepam / Warfarin / Amitriptyline,Farmakokinetik,Perubahan tak terduga pada konsentrasi obat di dalam darah.,"Milk thistle dapat menghambat enzim sitokrom P450 (CYP2C9 dan CYP3A4) di hati, yang memperlambat metabolisme obat-obatan tersebut."
674,451,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
675,452,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
676,453,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
677,454,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
678,455,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
679,456,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
680,457,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
681,458,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
682,459,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
683,460,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
684,461,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
685,462,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
686,463,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
687,464,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
688,465,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
689,466,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
690,467,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
691,468,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
692,469,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
693,470,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
694,471,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
695,472,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
696,473,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
697,474,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
698,475,Diuretik / Kortikosteroid Sistemik,Farmakodinamik,Hipokalemia parah dan kelemahan otot miokardium jantung.,"Diare osmotik hebat akibat iritasi mukosa usus oleh minyak jarak menguras kalium, diperparah oleh obat yang membuang kalium melalui ginjal."
699,476,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
700,477,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
701,478,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
702,479,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
703,480,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
704,481,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
705,482,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
706,483,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
707,484,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
708,485,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
709,486,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
710,487,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
711,488,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
712,489,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
713,490,SSRI / SNRI (Antidepresan),Farmakodinamik,Sindrom Serotonin.,"Garcinia cambogia dilaporkan meningkatkan pelepasan dan ketersediaan serotonin di celah sinaps otak, yang memicu kelebihan serotonin mematikan bila digabung SSRI."
714,490,Statin / Parasetamol / Obat Hepatotoksik,Toksisitas,Hepatotoksisitas Akut (Kerusakan Hati).,"Penggunaan ekstrak Garcinia dikaitkan secara klinis dengan cedera hati idiopatik akut; jika digabung dengan obat lain yang disaring di hati, dapat mempercepat gagal organ."
715,491,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
716,492,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
717,493,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
718,494,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
719,495,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
720,496,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
721,497,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
722,498,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
723,499,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
724,500,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
725,501,Warfarin / Antikoagulan,Farmakodinamik,Pendarahan hebat yang sulit dihentikan.,"Dong Quai mengandung senyawa turunan kumarin yang memiliki efek antiplatelet kuat, memperpanjang waktu protrombin (PT) dan INR secara drastis jika digabung Warfarin."
726,501,Terapi Hormon (Estrogen/Progestin),Farmakodinamik,Modulasi reseptor yang tidak terprediksi.,Sifat fitoestrogen pada Dong Quai dapat meniru atau memblokir efek estrogen sintetik pada jaringan payudara dan rahim.
727,502,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
728,503,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
729,504,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
730,505,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
731,506,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
732,507,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
733,508,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
734,509,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
735,510,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
736,511,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
737,512,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
738,513,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
739,514,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
740,515,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
741,516,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
742,517,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
743,518,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
744,519,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
745,520,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
746,521,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
747,522,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
748,523,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
749,524,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
750,525,Digoxin,Farmakokinetik (Interferensi Lab) / Farmakodinamik,Hasil lab palsu (false elevation) atau peningkatan toksisitas.,"Komponen eleutherosides dapat mengganggu tes darah untuk digoxin, dan secara ringan menstimulasi jantung sehingga memperburuk risiko aritmia."
751,525,Obat Diabetes (Insulin / Metformin),Farmakodinamik,Risiko hipoglikemia berlebih.,Ginseng Siberia dapat menurunkan resistensi insulin dan meningkatkan serapan glukosa seluler secara signifikan.
752,526,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
753,527,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
754,528,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
755,529,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
756,530,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
757,531,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
758,532,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
759,533,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
760,534,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
761,535,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
762,536,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
763,537,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
764,538,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
765,539,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
766,540,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
767,541,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
768,542,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
769,543,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
770,544,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
771,545,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
772,546,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
773,547,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
774,548,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
775,549,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
776,550,"Opioid Medis (Fentanyl, Morfin, Oxycodone)",Farmakodinamik,Depresi pernapasan fatal dan koma (OVERDOSIS).,Kratom memiliki senyawa mitragynine yang bertindak sebagai agonis parsial pada reseptor opioid mu (μ). Kombinasi dengan opioid resep akan memicu penekanan sistem pernapasan mematikan.
777,550,Antidepresan (SSRI / SNRI),Farmakodinamik,Sindrom Serotonin dan kejang.,Kratom berinteraksi secara kompleks pada reseptor monoamine di SSP. Digabung antidepresan bisa menyebabkan badai serotonin otak.
778,551,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
779,552,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
780,553,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
781,554,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
782,555,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
783,556,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
784,557,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
785,558,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
786,559,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
787,560,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
788,561,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
789,562,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
790,563,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
791,564,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
792,565,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
793,566,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
794,567,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
795,568,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
796,569,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
797,570,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
798,571,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
799,572,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
800,573,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
801,574,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
802,575,Siklosporin / Tacrolimus (Imunosupresan),Farmakokinetik,Toksisitas organ akut (kerusakan ginjal/hati).,"Alkaloid berberin pada Goldenseal adalah inhibitor poten terhadap enzim sitokrom P450 (terutama CYP3A4), sehingga obat tidak bisa dibuang oleh tubuh dan menumpuk ke level beracun."
803,576,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
804,577,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
805,578,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
806,579,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
807,580,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
808,581,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
809,582,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
810,583,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
811,584,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
812,585,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
813,586,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
814,587,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
815,588,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
816,589,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
817,590,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
818,591,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
819,592,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
820,593,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
821,594,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
822,595,Phenytoin / Obat Antiepilepsi,Farmakodinamik,Memicu kejang (seizure) atau menggagalkan terapi epilepsi.,"Asam lemak esensial (GLA) pada minyak Evening Primrose dilaporkan dapat menurunkan ambang batas kejang di otak, sehingga melawan kerja obat antikonvulsan."
823,595,Lopinavir / Ritonavir (ARV HIV),Farmakokinetik,Efektivitas obat HIV menurun.,"Evening primrose meningkatkan aktivitas enzim pemecah obat, sehingga ARV lebih cepat terbuang."
824,596,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
825,597,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
826,598,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
827,599,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
828,600,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
829,601,Tacrolimus / Sirolimus / Cyclosporine (Imunosupresan),Farmakokinetik (MAJOR),Toksisitas akut dan kerusakan organ (hati/ginjal).,"Schisandra adalah inhibitor yang sangat poten terhadap enzim CYP3A4 di hati dan usus, serta transporter P-glycoprotein. Ini secara drastis menghentikan pembuangan obat-obatan tersebut, memicu penumpukan kadar beracun di dalam darah."
830,601,Warfarin,Farmakokinetik,Peningkatan risiko pendarahan atau ketidakstabilan INR.,Menghambat enzim CYP2C9 yang bertugas memetabolisme Warfarin.
831,602,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
832,603,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
833,604,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
834,605,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
835,606,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
836,607,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
837,608,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
838,609,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
839,610,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
840,611,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
841,612,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
842,613,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
843,614,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
844,615,"SSRI / SNRI (Antidepresan: Sertraline, Fluoxetine)",Farmakodinamik,"Sindrom Serotonin (Tremor, detak jantung cepat, hipertermia).","Rhodiola mengandung salidroside dan rosavin yang menghambat enzim Monoamine Oxidase (MAO). Jika dikombinasi dengan obat penghambat reuptake serotonin, kadar serotonin otak akan menumpuk pada level mematikan."
845,615,Obat Hipertensi (Anti-hipertensi),Farmakodinamik,Hipotensi (Tekanan darah turun drastis).,"Sebagai adaptogen, Rhodiola memiliki efek vasodilatasi yang bisa memperkuat efek penurun tekanan darah secara aditif."
846,616,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
847,617,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
848,618,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
849,619,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
850,620,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
851,621,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
852,622,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
853,623,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
854,624,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
855,625,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
856,626,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
857,627,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
858,628,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
859,629,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
860,630,"Antasida / Obat Maag (PPI, H2 Blocker)",Farmakodinamik,Memperburuk gejala GERD (Asam Lambung).,"Menthol dalam minyak peppermint merelaksasi otot sfingter esofagus bagian bawah. Meskipun nyaman di perut, ini memudahkan asam lambung naik kembali ke kerongkongan, melawan fungsi obat GERD."
861,630,Felodipine / Obat Jantung,Farmakokinetik,Peningkatan kadar obat dalam darah.,"Minyak peppermint dapat menghambat enzim sitokrom P450 3A4 (CYP3A4) secara moderat, memperlambat pembuangan obat-obatan yang dimetabolisme oleh enzim tersebut."
862,631,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
863,632,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
864,633,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
865,634,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
866,635,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
867,636,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
868,637,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
869,638,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
870,639,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
871,640,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
872,641,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
873,642,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
874,643,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
875,644,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
876,645,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
877,646,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
878,647,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
879,648,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
880,649,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
881,650,Aspirin / Warfarin / Pengencer Darah,Farmakodinamik,Pendarahan yang sulit berhenti (Bleeding risk).,"Kandungan parthenolide secara langsung menghambat pelepasan butiran granul sekresi oleh trombosit, menurunkan kemampuan pembekuan darah yang bersinergi secara fatal dengan obat antiplatelet."
882,650,NSAID (Ibuprofen / Naproxen),Farmakodinamik,Saling membatalkan efek pencegahan migrain.,NSAID dan Feverfew sama-sama memodulasi jalur prostaglandin (COX). Kombinasi ini dapat menyebabkan persaingan reseptor dan menurunkan efektivitas feverfew sebagai pencegah migrain.
883,651,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
884,652,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
885,653,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
886,654,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
887,655,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
888,656,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
889,657,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
890,658,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
891,659,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
892,660,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
893,661,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
894,662,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
895,663,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
896,664,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
897,665,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
898,666,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
899,667,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
900,668,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
901,669,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
902,670,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
903,671,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
904,672,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
905,673,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
906,674,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
907,675,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
908,676,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
909,677,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
910,678,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
911,679,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
912,680,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
913,681,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
914,682,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
915,683,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
916,684,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
917,685,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
918,686,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
919,687,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
920,688,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
921,689,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
922,690,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
923,691,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
924,692,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
925,693,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
926,694,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
927,695,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
928,696,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
929,697,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
930,698,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
931,699,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
932,700,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
933,701,Digoxin,Farmakodinamik,Peningkatan risiko toksisitas Digoxin (aritmia).,Hawthorn memiliki efek inotropik positif yang memperkuat kerja Digoxin pada otot jantung. Penggunaan bersama harus di bawah pengawasan ketat kardiolog.
934,701,"Antihipertensi (Beta-blocker, CCB)",Farmakodinamik,Hipotensi (tekanan darah anjlok mendadak).,Hawthorn menyebabkan vasodilatasi (pelebaran pembuluh darah) yang bersinergi kuat dengan obat penurun tensi resep dokter.
935,702,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
936,703,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
