id,herbal_id,pemerian_farmakognosi,mikroskopik_farmakognosi,mekanisme_aksi,farmakokinetik,toksikologi,interaksi_obat_umum
633,633,Umbi raksasa bau bangkai amorphophallus titanum bunga bangkai suweg raksasa.,Glukomanan pati oksalat kalsium raphide jarum gatal.,Serat larut air diet diabetes kolesterol ldl pengikat empedu usus flora prebiotik shirataki kenyang lama perut obesitas penurun lemak.,TIDAK DISERAP lumen usus feses mass.,UMBI MENTAH SANGAT BERACUN GATAL RAPHIDE OKSALAT BIKIN MULUT BENGKAK MATI.,Aman hanya setelah diproses pabrik tepung konjak shirataki.
634,634,Cairan enzim dalam kantong semar nepenthes mirabilis nepenthaceae tertutup rapat.,Nepenthesin protease enzim enzim pencerna serangga protein peptida.,Enzim pencerna protein iritasi debu mata merah rabun mata kering tetes mata tradisional katarak ringan batuk kering tenggorokan serak dahak paru asma lendir sirup.,Lokal mukosa mata faring lambung usus enzim.,HANYA CAIRAN KANTONG TERTUTUP BELUM KEMASUKAN SERANGGA LALAT KOTOR BAKTERI awas infeksi jika cairan kotor.,Aman bersih.
635,635,Herba bunga putih mirip merpati anggrek dendrobium crumenatum epifit.,Dendrobine alkaloid flavonoid alkaloid indol.,Anti kanker tumor sel payudara apoptosis sel mutasi dna radikal bebas anti inflamasi jerawat bernanah abses bisul radang kulit cuci darah kotor.,Metabolisme hepar usus kapiler dermis jaringan sel tumor.,Aman.,Aman.
636,636,Rimpang pahit lempuyang hutan liar zingiber puberulum zingiberaceae.,Zerumbone gingerol pekat minyak atsiri.,Antelmintik cacing pita parasit usus paralisis lisis mati keluar feses asma bronkus mukolitik dahak paru sesak napas dada radang sariawan usus pencernaan.,Pencernaan usus sekum paru uap hepar hepar ginjal.,Aman.,Aman.
637,637,Bunga merah besar di tanah kecombrang hutan honje etlingera hemisphaerica zingiberaceae.,Flavonoid quercetin tannin minyak atsiri wangi bunga asam.,Bumbu antibakteri amis ikan daging sambal nafsu makan sariawan radang gusi tenggorokan bau badan keringat ketiak apokrin wangi darah kotor cuci kolesterol ldl urat sendi asam urat.,Absorpsi usus hepar ginjal keringat apokrin urin empedu.,Aman.,Aman.
638,638,Daun kasap sirih hutan piper aduncum piperaceae paku merambat wangi lada.,Dillapiol piperin atsiri pedas hangat.,Hemostatik presipitasi darah luka sayat potong robek darah mengucur beku instan antiseptik bakteri jamur kulit gatal kurap kadas panu.,Topikal luar kapiler darah dermis epitel kulit.,Aman luar.,Aman luar.
639,639,Daun hijau kecil pipa bawang lokio allium schoenoprasum amaryllidaceae wangi bawang lemah.,Allyl propyl disulfide quercetin vitamin k kalsium.,Vasodilator perifer sirkulasi darah dingin tangan kaki kebas peredaran darah lancar trombus darah kental encer jantung koroner tulang matriks osteokalsin vitamin k empedu hati enzim telur bumbu.,Absorpsi usus hepar sirkulasi darah jantung tulang matriks kalsium.,Aman bumbu masakan.,Sinergis pengencer darah warfarin heparin.
640,640,Buah merah tajam pandan laut pandanus tectorius pantai pesisir pandanaceae.,Bromelin like enzyme alkaloid tannin isoflavon akar daun buah.,Antelmintik cacing usus anak tekanan darah tinggi hipertensi turun drastis akar daun diuretik pelvis ginjal urat gout asam urat kristal lisis sirkulasi jantung debar tenang diabetes kencing manis.,Ekskresi urin masif kalium usus cacing hepar pankreas.,Aman.,Aman.
641,641,Buah merah ceri kecil arbei hutan liar rubus rosaefolius rosaceae manis asam air.,Vitamin c pekat antosianin zat besi pektin serat.,Antioksidan sariawan stomatitis radang gusi berdarah kolagen selaput epitel lendir mulut usus lambung gaster darah merah anemia hb pucat pusing retina mata antiaging keriput usus laksatif lunak.,Absorpsi duodenum usus hepar ginjal urin darah sumsum mata kapiler epitel.,Aman.,Aman.
642,642,Daun merah ungu pucuk cantigi kawah gunung vaccinium varingiaefolium ericaceae.,Antosianin flavonoid tannin pekat daun buah.,Astringen usus diare asam urat linu sendi pegal otot rangka asidosis laktat kelelahan fisik kuli gunung pendaki sayur rebus segar lalapan anti inflamasi radang sendi nyeri sariawan tenggorokan radang.,Lumen usus sendi otot hepar darah ginjal urin.,Aman rebus lalapan.,Aman.
643,643,Kulit buah delima putih punica granatum alba lythraceae sepet pait obat keputihan.,Ellagitannin punicalagin pekat putih kulit.,Astringen sangat kuat pengerut mukosa vagina rahim endometrium keputihan leukore jamur candida albicans mati bakteri vaginosis bersih keset rapet diare cair amuba disentri darah mampet usus luka borok ibd crohn.,Lokal lumen usus rahim mukosa topikal oral rebus.,Awas sembelit parah usus kering lilit kram jika over.,Aman.
644,644,Buah jambu kuning putih wangi mawar rose apple syzygium jambos myrtaceae manis.,Vitamin c myricetin quercetin alkaloid jambosin biji bunga.,Penenang jantung debar takikardi palpitasi cemas panik aritmia stabil ssp sedatif ringan anti diabetik glukosa turun insulin pankreas beta sel radang tenggorokan sirup anak asma dahak.,Metabolisme ssp jantung otot miokardium darah pankreas.,Aman awas biji beracun sianida toksik hindari biji telan.,Aman daging buah.
645,645,Buah bulat keras hijau besar di batang berenuk crescentia cujete bignoniaceae pahit maja palsu.,Iridoid glikosida asam sianat crescentin asam tartarat.,Penurun tekanan darah tinggi drastis hipertensi krisis vasodilatasi tepi asma bronkus mukolitik dahak paru sirup batuk asma pernapasan diuretik urin empedu hepar lambung maag perih netral.,Absorpsi lambung hepar sirkulasi jantung paru uap urin ginjal.,BUAH MENTAH SANGAT BANYAK BERACUN MUAL MUNTAH DIARE KERACUNAN SIANIDA AMAN DIREBUS BAKAR MATANG.,Aman matang dosis wajar.
646,646,Getah putih tebal kulit pohon benda artocarpus elasticus moraceae karet lengket.,Triterpen saponin lateks poliisopren karet.,Matriks penutup luka borok bisul abses nanah narik kotoran bakteri ke luar kulit matang pecah jaringan granulasi fibroblas kulit anti inflamasi analgesik lokal bengkak memar keseleo.,Topikal luar kulit dahi bisul abses epitel.,Aman luar dilarang minum usus buntu gumpal.,Aman luar.
647,647,Buah merah bintil tumpul pulasan nephelium mutabile sapindaceae mirip rambutan manis.,Tannin saponin vitamin c glukosa fruktosa gula.,Karbohidrat glikolisis atp otot lelah fisik kuli energi diare usus mampet astringen biji kulit cacing usus mati diabetes gula darah turun (biji daun rebus) sariawan mulut radang.,Lumen usus hepar otot pankreas pankreas.,Aman.,Aman.
648,648,Kulit kayu daun jabon neolamarckia cadamba rubiaceae kuning kayu empuk pahit.,Cadambine alkaloid chlorogenic acid tannin.,Antipiretik set point hipotalamus demam panas tinggi anak malaria plasmodium lisis stomatitis sariawan gusi berdarah kumur radang usus diare mencret empedu cuci liver regenerasi.,Metabolisme hepar ginjal usus mulut ssp otak.,Aman.,Aman.
649,649,Kulit kayu daun jati putih gmelina arborea lamiaceae pahit kayu putih tulang.,Gmelinol arboreol lignan luteolin kumarin.,Pencuci darah kotor limfatik kelenjar radang jerawat kista batu urat ginjal pelvis lisis diuretik udem kaki bengkak air turun asidosis basa penurun asam urat sendi cox lox hambat.,Ekskresi ginjal usus limfatik darah sirkulasi tulang.,Aman.,Aman.
650,650,Daun pucuk merah daun puspa schima wallichii theaceae teh hutan tannin sepet.,Saponin schimasaponin flavonoid tannin.,Antioksidan ros radikal bebas uv kulit keriput pewarna alami kain benang penurun panas demam usus diare lendir astringen antibakteri jamur kadas panu luar anti tumor invitro.,Pencernaan kulit epidermis ginjal hati empedu.,Aman.,Aman.
651,651,Biji kopi hitam bulat robusta coffea canephora rubiaceae kafein tinggi pahit sepat asam rendah.,Kafein tinggi (2-3% dibanding arabika 1%) klorogenat asam trigonellin.,Stimulan ssp adenosin antagonis korteks serebri fokus kerja melek malam jantung takikardi pompa darah sirkulasi kuat bronkodilator asma napas energi atp otot lipolisis bakar lemak olahraga kardio glikogen otot diuretik urine kandung kemih empedu lancar.,Absorpsi lambung usus 15 menit peak hepar cyp1a2 ginjal jantung paru.,Awas jantung debar hipertensi gerd maag asam lambung insomnia panik cemas tangan gemetar toleransi kafein diuretik dehidrasi.,Interaksi stimulan ephedrine ssp teofilin obat asma parah dosis ganda.
652,652,Akar dan air batang rotan calamus rotang arecaceae hutan rimba pekat.,Saponin flavonoid alkaloid air mineral murni kapiler.,Antiplasmodium malaria demam berdarah dbd trombosit naik hepar limpa cuci sisa parasit lisis hidrasi ginjal survival hutan air jernih pembuluh rotan antipiretik demam panas tinggi.,Absorpsi lambung usus hepar limpa ginjal urin keringat sirkulasi.,Aman.,Aman.
653,653,Rebung kuning bambu kuning bambusa vulgaris striata poaceae hati kuning liver hepatitis.,Flavon triterpenoid asparagin silika kalium.,Hepatoprotektor regenerasi hepatosit liver virus hepatitis a b sirosis ikterus mata kulit kuning bilirubin empedu luruh batu empedu lisis ginjal cuci urin ureum turun panas dalam demam udem bengkak air kalium.,Metabolisme hepar empedu ginjal urin usus.,Awas getah rebung mentah gatal sianida asam racun mati rebus 2x buang air aman.,Aman matang.
654,654,Air ruas bambu betung dendrocalamus asper poaceae bening wangi bambu air hutan.,Mineral silika kalium eksudat bambu polisakarida.,Ekspektoran mukolitik asma sesak napas batuk rejan pertusis dahak paru kental cair paru paru kotor perokok bersih silia mukosa silika tulang keropos kalsium ikat ginjal cuci urat luruh.,Ekskresi paru paru uap mukosa ginjal urin tulang rawan sendi.,Aman hidrasi air mineral alam bersih awas bakteri jika kotor.,Aman.
655,655,Daun hijau tua bambu hitam gigantochloa atroviolacea poaceae urat gout linu kaki sendi.,Silika flavonol isoorientin kalium kalsium.,Inhibisi enzim xanthine oxidase (seperti allopurinol) menurunkan kadar asam urat darah pencegah pembentukan kristal gout di sendi ibu jari kaki lutut diuretik pembilas ginjal kristal darah kotor.,Ekskresi ginjal urin masif basa alkali darah cairan tubuh sendi tulang.,Aman.,Sinergis obat asam urat allopurinol awas dehidrasi.
656,656,Biji keras daun tajam pakis haji cycas revoluta cycadaceae kusta lepra mitos.,Cycasin BMAA (beta-methylamino-L-alanine) neurotoksin karsinogenik hepatotoksik getah.,Obat kusta lepra mycobacterium saraf mati (penggunaan oleh dukun purba sangat berbahaya dilarang medis modern).,Metabolisme flora usus menjadi methylazoxymethanol MAM karsinogen kuat mutasi dna hepar ssp degenerasi.,SANGAT BERACUN MEMATIKAN KANKER HATI ALS PARKINSON DEMENSIA KOMPLEKS KOMA MATI jika tidak diolah sempurna air mengalir bulan.,DILARANG KERAS MEDIS KONSUMSI ORAL RACUN SARAF LIVER.
657,657,Biji merah keras melinjo hutan gnetum macrostachyum gnetaceae gunung liar.,Pati protein purin tinggi asam amino resveratrol.,Energi karbohidrat fisik kuli otot glikogen pembangun sel gizi purin pecah jadi asam urat radikal bebas hancur ros pembuluh darah arteri.,Absorpsi usus hepar sendi urat ekskresi urin.,AWAS ASAM URAT GOUT SENDI LINU BENGKAK KAKI jika penderita hiperurisemia makan biji banyak.,Aman bagi non gout.
658,658,Daun kaktus tebal berdaging tanpa duri tajam kaktus centong opuntia cochenillifera cactaceae.,Pektin lendir musilago kalsium beta karoten klorofil.,Demulsen pelapis mukosa vena ambeien wasir bengkak darah henti radang kempes panas dalam asidosis sariawan gusi borok lambung gaster maag perih antasida alam glikemik indeks rendah prebiotik diet kenyang.,Lumen usus darah vena rektum anus epitel.,Aman sayur jus.,Aman.
659,659,Daun merah ungu berbulu miana merah coleus blumei lamiaceae wangi mint lemah iler.,Minyak atsiri eugenol carvacrol flavonoid antosianin lendir.,Ekspektoran mukolitik anak batuk pilek dahak asma bronkus paru napas lega demam panas keringat pori ambeien wasir darah rektum vena kempes radang usus cacing ascaris mati cerna antibakteri infeksi luar bisul.,Metabolisme epitel paru usus ginjal hepar vena rektum.,Aman sirup air rebus daun anak.,Aman.
660,660,Daun hijau bolong janda bolong monstera adansonii araceae hiasan ruang polusi racun.,Kalsium oksalat raphide kristal jarum sangat tajam getah iritan polutan sedot stomata.,Fitoremediasi penjernih udara ruangan dari VOC volatile organic compounds formaldehida benzena amonia sedot pori daun hias murni estetika mata.,TIDAK UNTUK DIKONSUMSI.,BERACUN TOKSIK TENGGOROKAN BENGKAK ASFIKSIA TERCEKIK MATI LIUR MUNCERAT BUSA jika daun dikunyah kucing anjing balita.,TANAMAN HIAS NON ORAL BAHAYA OKSALAT RAPHIDE.
661,661,Daun hijau bercak perak sri rejeki aglaonema commutatum araceae hiasan polutan sedot udara indoor.,Kalsium oksalat raphide kristal iritan toksik saponin.,Fitoremediasi pembersih udara karbon dioksida racun kimia cat karpet asap rokok sedot stomata klorofil fotosintesis o2.,TIDAK UNTUK DIMAKAN.,SANGAT GATAL BERACUN LEPUH BIBIR LIDAH RADANG TENGGOROKAN BENGKAK jika getah daun dikunyah hewan anak.,TANAMAN HIAS NON ORAL RAWAT UDARA.
662,662,Daun hijau gelombang keriting kaku anthurium plowmanii araceae gelombang cinta hiasan pot besar o2 segar indoor.,Kalsium oksalat raphide kristal toksin getah tajam mikroskopik.,Pembersih udara polusi dalam ruangan oksigenasi segar estetika daun lebar respirasi co2 serap.,TIDAK UNTUK DIMAKAN.,BERACUN MENIMBULKAN BENGKAK SALURAN NAPAS SESAK KESULITAN MENELAN (DISFAGIA) jika termakan tertelan getah daun batang akar.,TANAMAN HIAS NON ORAL RACUN KUNYAH.
663,663,Daun hijau lembut keriting suplir adiantum capillus veneris pteridaceae pakis air teduh sirup batuk kuno eropa.,Rutin isoquercitrin mucilage sirup kapiler paru.,Ekspektoran demulsen pelapis mukosa faring tenggorokan serak asma bronkitis batuk rejan pertusis pilek flu ispa demam keringat pori antipiretik diuretik ginjal kencing lancar.,Absorpsi epitel paru usus ginjal urin keringat pori.,Aman teh sirup daun kering.,Aman.
664,664,Daun paku panjang tebal kadaka asplenium scolopendrium aspleniaceae sarang burung nempel pohon teduh ginjal cuci urat kristal.,Rutin flavonoid kalium kalsium aspleniat tannin.,Diuretik natriuresis ginjal ureter bilas batu urat asidosis alkali basa cairan tubuh panas dalam sariawan empedu liver empedu lancar aliran stasis limfatik bengkak air udem.,Ekskresi ginjal urin masif kalium usus feses empedu.,Aman rebus daun air.,Aman.
665,665,Daun epifit menyerupai tanduk rusa platycerium bifurcatum polypodiaceae paku nempel pohon demam anak rambut rontok botak akar.,Flavonoid triterpen saponin rambut folikel kepala.,Antipiretik penurun panas dahi anak kompres luar stimulasi folikel rambut akar kuat rontok uban botak anti inflamasi sendi radang bisul abses bengkak luar.,Topikal luar kulit epidermis folikel rambut dahi suhu evaporasi.,Aman luar kompres tempel daun.,Aman luar.
666,666,Daun pucuk merah menyala natal kastuba euphorbia pulcherrima euphorbiaceae getah putih susu racun muntah peluruh haid.,Diterpene ester euphorbol getah lateks iritan lambung kaustik racun.,Emetik (pemicu muntah paksa) kuras lambung racun makanan (hanya oleh dukun purba sangat bahaya) peluruh haid buntu amenore (abortivum) gatal kutil kulit mati lisis.,Metabolisme mukosa lambung usus rahim kram kontraksi hebat.,GETAH SANGAT BERACUN IRITASI MATA BUTA LAMBUNG PERIH LEPUH MUNTAH DIARE DEHIDRASI HANCUR jika oral sembarangan.,DILARANG ORAL HANYA TANAMAN HIAS NATAL LUAR KUTIL GETAH.
667,667,Bunga pink merah batang pangkal besar kamboja jepang adenium obesum apocynaceae racun panah afrika jantung henti.,Oubain like cardiac glycosides adeniin racun jantung kardiak sangat toksik dosis mikro.,Menghambat pompa Na+/K+-ATPase miokardium jantung hiperkalsemia kontraksi tetanik fibrilasi ventrikel blok av henti jantung mati koma panah beracun hewan buruan rubuh mati seketika.,Absorpsi cepat darah jantung otot vaskular.,SANGAT BERACUN FATAL MATI JANTUNG GETAH BUNGA DAUN BATANG AKAR BISA MEMBUNUH MANUSIA DAN HEWAN JIKA TERTELAN.,DILARANG KERAS MEDIS HERBAL HANYA HIASAN GETAH JAUHKAN DARI MATA LUKA.
668,668,Jamur putih abu kipas belah kayu mati jamur grigit schizophyllum commune schizophyllaceae hutan hujan tropis imun makrofag.,Schizophyllan (SPG) beta-glucan polisakarida imun sel.,Imunostimulan kuat aktivasi makrofag sel T limfosit sel NK natural killer pemakan sel kanker tumor mutasi radiasi kemoterapi anti tumor asites ehrlich karsinoma serviks paru hati infeksi bakteri paru tbc.,Pencernaan makrofag usus reseptor dektin 1 sistemik limfatik darah.,Aman jamur konsumsi masak matang.,Aman sinergis kemoterapi radiasi kanker sel imun naik.
669,669,Jamur bulat seperti kentang coklat bersisik dalam hitam tanah jamur so scleroderma citrinum sclerodermataceae beracun diare lambung babi.,Sclerodermin pigmen toksin gastrointestinal usus lambung gaster iritan racun truffle palsu.,Iritasi mukosa lambung gaster usus sekum kolon hiperperistaltik muntah mual pusing kram lilit perut keringat dingin dehidrasi syok keracunan jamur.,Metabolisme lumen usus darah toksik lokal ssp ringan.,BERACUN MUAL MUNTAH DIARE KRAM GASTROINTESTINAL JIKA DIMAKAN BENTUK MIRIP TRUFFLE MAHAL TAPI INI RACUN BUKAN MAKANAN.,DILARANG MAKAN BERBAHAYA JAMUR LIAR TANAH.
670,670,Jamur putih payung lebar mekar musim hujan bulan purnama jamur bulan gymnopus sp omphalotaceae lezat energi protein ayam.,Asam amino esensial lengkap karbohidrat ergosterol vitamin d uv matahari jamur tulang otot.,Protein sintesis anabolik otot sel jaringan epitel gizi stunting balita kurus ergosterol provitamin d kalsium absorpsi usus tulang sendi rawan kuat osteoporosis cegah energi atp.,Pencernaan usus halus pankreas hepar darah otot tulang.,Aman jamur liar yang bisa dimakan lezat seperti daging ayam masak matang.,Aman.
671,671,Serbuk kayu merah darah kayu cendana merah pterocarpus santalinus fabaceae kosmetik jerawat masker india ayurweda kulit glowing cerah.,Santalin pigmen merah santal pterocarpin isoflavon antioksidan kulit ros uv.,Anti inflamasi topikal epidermis jerawat bernanah cystic acne komedo pori bersih kotoran serap sebum minyak wajah cerah putih pigmentasi melanin hambat luka borok potong hemostatik eksim psoriasis darah kotor cuci teh.,Topikal epidermis kulit wajah teh seduh usus ginjal hepar.,Aman luar masker teh kayu merah.,Aman.
672,672,Kayu hitam pekat belang sulawesi makassar eboni diospyros celebica ebenaceae diabetes lokal kencing manis gula darah turun.,Triterpenoid saponin tannin flavonoid kulit kayu daun rebus.,Hambat penyerapan glukosa usus mukosa alfa glukosidase inhibitor pankreas beta sel stimulasi insulin resistensi peka diabetes tipe 2 hiperglikemia kolesterol ldl plak pembuluh darah jantung.,Metabolisme lambung usus hepar ginjal urin darah pankreas.,Aman rebusan kayu daun dosis wajar obat lokal.,Aman sinergis obat diabetes awas drop.
673,673,Kayu sangat keras berat tenggelam air ulin kayu besi borneo eusideroxylon zwageri lauraceae abu minyak biji rambut uban hitam lebat akar kuat botak.,Eusiderin alkaloid tannin minyak atsiri asam lemak biji ulin minyak rambut.,Eusiderin menstimulasi melanosit folikel rambut pigmen uban putih kembali hitam (minyak buah/biji/abu kayu) sirkulasi kapiler kulit kepala akar rambut kuat rontok henti kebotakan alopecia kayu tahan rayap jamur laut bakteri alam air laut.,Topikal folikel rambut kepala kapiler darah kulit luar epidermis.,Aman minyak biji abu kayu usap luar dilarang minum neurotoksik ringan ampas.,Aman luar rambut rontok botak uban hitam.
674,674,Kulit kayu keras coklat merah borneo teak merbau intsia bijuga fabaceae disentri darah usus radang borok amuba cacing luka.,Tannin pekat proanthocyanidin asam galat astringen luka luar dalam usus.,Astringen koagulasi protein bakteri amuba cairan usus radang borok diare mencret darah mampet lilit kram perut kolon hemostatik pembuluh darah luka robek berdarah potong kusta lepra tradisional anti bakteri alam kayu tahan rayap cuaca.,Lumen usus sekum lambung topikal luar luka kulit epitel.,Aman teh rebusan kayu kulit luar luka.,Aman.
675,675,Akar rumput tinggi raksasa pakan ternak sapi rumput gajah pennisetum purpureum poaceae panas dalam demam anak urat ginjal urin.,Silika kalium kalsium flavonoid akar daun manis air rebus.,Diuretik ginjal pelvis ureter bilas kandung kemih kencing kotor batu urat kalsium luruh asidosis basa cairan tubuh panas dalam sariawan demam suhu turun hipotalamus keringat pakan susu sapi deras asi.,Ekskresi ginjal urin keringat usus darah sapi.,Aman rebus akar rumput teh.,Aman.
676,676,Akar rumput pendek empuk pakan domba rumput odot pennisetum purpureum cv mott kalsium tinggi tulang keropos sendi usus serat balita.,Kalsium fosfor serat kasar protein nabati hewan manusia akar manis.,Mineralisasi tulang rawan matriks osteoblas sendi linu lansia keropos asam urat luruh diuretik kalium pencernaan lambung maag serat usus empedu gizi susu ternak deras energi karbo atp.,Absorpsi usus hepar ginjal urin keringat darah tulang kalsium.,Aman rebus akar teh.,Aman.
677,677,Daun panjang bergelombang paku sarang burung asplenium nidus aspleniaceae rambut rontok botak kusam persalinan rahim lancar pelicin kontraksi.,Flavonoid saponin kalium aspleniat tannin lendir daun tumbuk pelumas rahim luar rambut akar.,Stimulasi folikel rambut rontok ketombe jamur kulit kepala bersih uban dicegah pelicin jalan lahir persalinan ibu hamil mules perut bawah kontraksi rahim miometrium dukun beranak kompres perut bawah udem bengkak air turun.,Topikal folikel rambut kulit perut bawah rahim miometrium tembus kapiler sirkulasi.,Aman luar kompres gosok dilarang minum rahim gugur kontraksi hamil muda.,Aman luar.
678,678,Bunga mekar jam sembilan pagi warna warni krokot mawar portulaca grandiflora portulacaceae sariawan radang tenggorokan luka bakar amandel tonsil perih.,Portulal alkaloid betalain pigmen merah kuning ungu vitamin c kalium.,Antiseptik mukosa faring amandel tonsilitis radang bengkak sariawan bakteri lisis vitamin c kolagen gusi berdarah epitel regenerasi luka bakar kulit melepuh kompres dingin hidrasi sel asidosis panas dalam demam turun.,Lokal mukosa mulut tenggorokan usus lambung urin ginjal kulit luar.,Aman teh bunga rebus air.,Aman.
679,679,Herba daun sangat pahit seperti sambiloto tapi berbulu sambiloto merah andrographis echioides acanthaceae demam tipes salmonella usus malaria gula darah kencing manis.,Andrographolide echioidnin flavone glukosida pahit ekstrem makrofag imun usus empedu pankreas.,Imunostimulan makrofag fagositosis salmonella typhi usus tipes sembuh demam malaria plasmodium lisis eritrosit virus bakteri ispa paru bronkus mukolitik gula darah diabetes hiperglikemia turun drastis insulin reseptor sensitif liver empedu cuci detoks.,Metabolisme usus limpa hepar pankreas urin ekskresi darah sel.,Aman awas gula drop pingsan dosis pahit ekstrim lambung mual.,Sinergis awas obat diabetes medis dokter gula anjlok ganda.
680,680,Herba paku merambat bercabang cakar ayam selaginella doederleinii selaginellaceae kanker nasofaring paru paru tumor kista miom radang asma bronkus darah kotor.,Amentoflavone hinokiflavone biflavonoid sitotoksik sel mutasi abnormal paru rahim getah bening.,Antineoplastik sitotoksik selektif apoptosis sel kanker nasofaring paru paru payudara serviks rahim miom kista tumor ganas hancur dna mutasi anti radang kuat asma sesak napas hemostatik pendarahan batuk darah tbc paru urat sendi asam urat.,Metabolisme hepar usus sirkulasi darah paru rahim sel tumor.,Aman teh rebusan dosis terapi obat cina tcm.,Aman.
681,681,Kayu merah gelap secang hutan mezoneuron kauaiense fabaceae disentri darah mencret mampet usus radang borok kolitis pendarahan dalam lambung maag luka.,Tannin galat brazilin sappanin anti inflamasi mukosa darah.,Astringen presipitasi protein bakteri luka mukosa usus lambung darah henti hemostatik disentri amuba basiler diare mampet kolik kram perut lilit usus buntu ringan pewarna merah alam antioksidan ros radikal sirkulasi darah stasis panggul haid.,Lokal lumen usus lambung darah hepar sirkulasi urin ginjal merah.,Aman jamu rebus awas usus kering sembelit jika over.,Aman.
682,682,Daun lebar hijau terang bulu halus gatal papua daun gatal laportea decumana urticaceae pegal linu rematik sendi urat kaku darah stasis sirkulasi macet lelah fisik kuli.,Formiat histamin serotonin asetilkolin bulu sengat kelenjar silika jarum mikro tusuk epitel kulit kapiler.,Iritan lokal vesikan vasodilatasi kapiler darah kulit seketika merah panas gate control theory pengalih nyeri dalam sendi otot linu pegal hilang instan (terapi pukulan daun ke badan) sirkulasi stasis macet lancar oksigenasi otot pembuangan asam laktat tumpuk.,Topikal lokal epidermis dermis kapiler darah otot rangka.,SANGAT GATAL PANAS PERIH TERBAKAR JIKA KENA KULIT MENTAH reaksi histamin alergi luar biasa HANYA UNTUK TERAPI PUKUL BADAN PAPUA DILARANG MAKAN MENTAH AMAN REBUS MATANG.,Aman terapi luar papua.
683,683,Daun hijau bawah putih keperakan lembut daun sanggum pipturus argenteus urticaceae luka bakar melepuh bisul nanah radang usus diare asma.,Rutin flavonoid kalsium lendir tannin daun empuk.,Demulsen pelapis kulit epitel luka bakar api air panas melepuh sel regenerasi kolagen fibroblas bisul matang pecah tarik kotoran astringen usus diare mencret asma sesak napas bronkus mukolitik paru lendir cair kalsium tulang rawan sendi linu teh rebus.,Topikal epidermis kulit luar usus paru hepar ginjal.,Aman luar dalam rebus air teh.,Aman.
684,684,Daun lebar raksasa bulu tajam sengat gatal jelatang gajah laportea stimulans urticaceae rematik sendi lutut kaku urat linu sirkulasi kaki gajah darah.,Histamin formiat asam asetilkolin toksin sengat bulu jarum silika epidermis kulit darah vena dilatasi.,Sama dengan daun gatal papua iritan lokal vesikan dilatasi kapiler vasodilatasi darah tepi lancar pegal linu rematik gout asam urat kristal nyeri hilang instan dialihkan panas gatal sabetan daun ke lutut kaki panggul punggung asidosis laktat buang.,Topikal epidermis dermis otot kapiler vena.,SANGAT GATAL PANAS TERBAKAR BISA BERHARI HARI MINGGU jika disengat bulu DILARANG MAKAN MENTAH REBUS MATANG BARU AMAN.,Aman terapi sabetan luar tahan sakit.
685,685,Herba daun hijau bergerigi bulu sengat gatal jelatang ayam fleurya interrupta urticaceae rematik encok pinggang bawah lumbago pegal linu tulang asma paru.,Histamin formiat kalsium silika kalium akar daun.,Sama dengan laportea iritan luar sabet ke kulit encok pinggang bawah sendi linu rematik sirkulasi lancar akar rebus asma bronkus mukolitik dahak paru diuretik kencing batu kalsium ginjal urat gout luruh.,Topikal luar epidermis akar rebus usus paru ginjal urin hepar.,GATAL PANAS LUAR jika kena daun mentah akar aman rebus minum.,Aman akar rebus terapi luar.
686,686,Kulit kayu bergetah bening keras kayu kuda lannea coromandelica anacardiaceae sakit gigi berlubang nyeri gusi bengkak sariawan usus radang borok lambung hemostatik luka darah beku lem.,Tannin katekik gallic acid Lannea flavonoid astringen bakteri mulut gaster darah.,Astringen kuat koagulasi cairan protein radang gusi bengkak gigi berlubang karies pulpitis saraf mati analgesik lokal sariawan stomatitis aftosa luka robek darah ngucur hemostatik beku lem borok lambung gaster maag usus diare mampet disentri amuba.,Lokal mukosa mulut gigi gusi lambung usus luar kulit.,Aman kumur telan luar oles getah kayu rebus.,Aman.
687,687,Buah putih pink asam manis sepet kupa hutan jambu alas syzygium densiflorum myrtaceae diare mencret amuba disentri usus lilit kram perut haus dehidrasi panas demam.,Tannin pekat antosianin vitamin c jambosin alkaloid biji daun buah.,Astringen usus diare mencret cairan ditarik feses padat disentri darah lendir mampet kram lilit usus tenang hidrasi mukosa oral tenggorokan radang amandel sariawan penurun panas demam hipotalamus biji anti diabetes insulin sel beta.,Lumen usus sekum pankreas hepar darah ginjal urin mulut.,Aman buah awas sembelit jika over biji rebus aman.,Aman.
688,688,Buah kecil merah hitam manis sepet daun wangi jambu hutan syzygium lineatum myrtaceae ginjal cuci urat batu luruh sariawan diabetes gula kencing manis.,Tannin polifenol eugenol atsiri daun vitamin c asidosis basa.,Diuretik aquaretik pelvis ginjal glomerulus bilas cuci darah kotor asam urat kristal luruh urin bening jernih sariawan gusi kolagen epitel diabetes glukosa darah turun pankreas regenerasi glikogen hepar kolesterol antioksidan ros jantung.,Ekskresi ginjal urin hepar usus pankreas lambung.,Aman.,Aman.
